x,y,xa,ya
-125,125,-122.27646668592959,177.26400686102065
-125,175,-109.24109514281044,204.6496668673229
-125,225,-106.67327450964935,252.20474621809666
-125,125,-123.69194455787616,174.40563127200278
-125,175,-109.33126269160502,204.69861348593085
-125,225,-106.56841996266617,252.3886487609127
-125,275,-103.66820388038455,300.06030235817747
-75,125,-65.16590120937808,154.732724440137
-75,175,-62.25233687018906,201.8357089559728
-75,225,-58.7786194214096,249.7271438373778
-75,275,-56.366639612709434,296.29288179019807
-25,125,-18.015855558198883,150.79590414952492
-25,175,-14.480190781860145,197.6954339456582
-25,225,-11.133466391975183,245.53266021352232
-25,275,-8.350830915658815,294.5524763118453
25,125,30.309783443211707,146.6226192656461
25,175,33.30749749801345,194.56147507763416
25,225,37.05460629801531,242.2672747246419
25,275,41.21644999100821,290.7173795653646
75,175,81.8693391544291,190.70154344936563
75,225,85.66838459780637,239.5842180654753
75,275,91.06509161475887,288.0155705850922
125,225,138.32759879044093,235.0274295554605
125,275,141.73663591052355,285.9939143020075
