x,y,z,xhat,yhat,xres,yres
-200,200,200,-177.6,211.3,22.4,11.3
-200,300,200,-176.1,300.5,23.9,0.5
-200,100,200,-180.7,122.6,19.3,22.6
-300,100,200,-264.9,127.6,35.1,27.6
-100,200,200,-90.3,207.8,9.7,7.8
-100,300,200,-87.8,298.6,12.2,-1.4
-300,300,200,-261.3,300.8,38.7,0.8
-150,150,200,-136.2,164.2,13.8,14.2
-150,250,200,-133.6,254,16.4,4
-150,350,200,-131.8,344.7,18.2,-5.3
-250,150,200,-223.3,168.7,26.7,18.7
-250,350,200,-220.6,256,29.4,-94
-350,150,200,-305.7,172.4,44.3,22.4
-350,250,200,-304.4,258,45.6,8
-350,350,200,-303.1,345,46.9,-5
100,200,200,96,200.6,-4,0.6
100,300,200,100.7,294.3,0.7,-5.7
200,100,200,192.2,100.1,-7.8,0.1
200,200,200,196.1,196.1,-3.9,-3.9
200,300,200,200.5,293,0.5,-7
300,100,200,296,94.4,-4,-5.6
300,200,200,301.7,191.3,1.7,-8.7
300,300,200,306.2,290.3,6.2,-9.7
150,150,200,142.9,152.3,-7.1,2.3
150,250,200,146.8,246.6,-3.2,-3.4
150,350,200,151.8,342,1.8,-8
250,150,200,245.5,146,-4.5,-4
250,250,200,249.9,242.9,-0.1,-7.1
250,350,200,255,340.5,5,-9.5
350,150,200,350.7,140.7,0.7,-9.3
350,250,200,356,240.5,6,-9.5
350,350,200,361.5,341,11.5,-9
0,300,200,2.8,298.7,,
0,305,200,2.8,303.9,,
0,310,200,3,307.7,,
0,315,200,2.7,312.5,,
0,320,200,2.7,317.6,,
0,325,200,3.4,322.7,,
0,330,200,3.5,325.8,,
0,335,200,2.7,330.9,,
0,340,200,3.3,335.9,,
0,345,200,3.5,339.8,,
0,350,200,4,344.3,,
300,0,200,296.6,-1.6,,
300,5,200,296.7,3.9,,
300,10,200,295.5,8.9,,
300,15,200,296.8,14,,
300,20,200,296.4,17.4,,
300,25,200,297,22.5,,
300,30,200,296.6,27.6,,
300,35,200,296.7,32.5,,
300,40,200,297.4,38.2,,
300,45,200,297.5,43.2,,
300,50,200,296.9,48.5,,
300,55,200,297.6,53.2,,
300,60,200,297.7,57.7,,
300,65,200,297.9,62.8,,
300,70,200,297.8,68,,
300,75,200,298.3,72.1,,
300,80,200,298.3,78.2,,
300,85,200,298.5,83.1,,
300,90,200,298.9,87.6,,
300,95,200,298.8,92.3,,
300,100,200,299,98.3,,
300,105,200,299,103,,
300,110,200,299.2,107.7,,
300,115,200,299.2,113.1,,
300,120,200,299.4,118.1,,
300,125,200,299.5,122.7,,
300,130,200,299.6,127.4,,
300,135,200,299.9,132.6,,
300,140,200,300.3,137.6,,
300,145,200,299.7,143.1,,
300,150,200,300,148,,
300,155,200,299.9,152.8,,
300,160,200,300,157,,
