x,y,z,xa,ya,za
-300,0,60,-280,5,35
-300,50,60,-280,55,35
-300,100,60,-280,95,35
-300,150,60,-280,140,30
-250,0,60,-230,5,35
-250,50,60,-230,70,35
-250,100,60,-230,95,35
-250,150,60,-230,150,35
-250,200,60,-230,195,35
-250,250,60,-235,245,30
-200,0,60,-170,5,40
-200,50,60,-175,47.5,40
-200,100,60,-180,92.5,40
-200,150,60,-185,142.5,40
-200,200,60,-180,190,35
-200,250,60,-180,240,35
-150,50,60,-90,30,40
-150,100,60,-125,85,45
-150,150,60,-132.5,137.5,40
-150,200,60,-135,190,40
-150,250,60,-135,235,35
-100,150,60,-75,125,45
-100,150,60,-82.5,127.5,47.5
-100,200,60,-87.5,185.0,40.0
-100,250,60,-87.5,235.0,37.5
-100,300,60,-90.0,285.0,35.0
-50,150,60,-32.5,105.0,57.5
-50,200,60,-40.0,182.5,42.5
-50,250,60,-40.0,235.0,42.5
-50,300,60,-40.0,280.0,37.5
0,150,60,5.0,65.0,75.0
0,200,60,10.0,182.5,45.0
0,250,60,15.0,230.0,40.0
0,300,60,17.5,280.0,35.0
0,350,60,20.0,340.0,32.5
0,315,40,20,300,40
50,150,60,40.0,102.5,55.0
50,200,60,52.5,177.5,45.0
50,300,60,62.5,280.0,35.0
50,250,60,57.5,227.5,40.0
100,150,60,87.5,120.0,42.5
100,200,60,97.5,177.5,42.5
100,250,60,102.5,227.5,37.5
100,300,60,107.5,277.5,35.0
150,50,60,107.5,37.5,52.5
150,100,60,125.0,80.0,45.0
150,150,60,135.0,130.0,47.5
150,200,60,145.0,180.0,40.0
150,250,60,150.0,225.0,35.0
200,0,60,177.5,0,37.5
200,50,60,175.0,55.0,40.0
200,100,60,180.0,95.0,37.5
200,150,60,182.5,137.5,37.5
200,200,60,187.5,185.0,35.0
200,250,60,192.5,232.5,37.5
250,0,60,227.5,10.0,35.0
250,50,60,225.0,55.0,32.5
250,100,60,230.0,97.5,35.0
250,150,60,232.5,142.5,30.0
250,200,60,235.0,187.5,32.5
250,250,60,240.0,237.5,30.0
300,0,60,277.5,12.5,30.0
300,50,60,277.5,57.5,32.5
300,100,60,277.5,102.5,30.0
300,150,60,282.5,147.5,30.0
300,200,60,282.5,200.0,25.0
-275,-25,60,-247.5,-25,30.0
-275,25,60,-247.5,50.0,32.5
-275,75,60,-250.0,85.0,30.0
-275,125,60,-250.0,130.0,30.0
-275,175,60,-250.0,172.5,27.5
-225,-25,60,-205.0,-17.5,35.0
-225,25,60,-200.0,45.0,32.5
-225,75,60,-197.5,87.5,35.0
-225,125,60,-195.0,132.5,37.5
-225,175,60,-202.5,172.5,35.0
-225,225,60,-195.0,227.5,30.0
-175,-25,60,-137.5,-25,40.0
-175,25,60,-140.0,40.0,42.5
-175,75,60,-142.5,77.5,42.5
-175,125,60,-147.5,125.0,40.0
-175,175,60,-150.0,172.5,40.0
-175,225,60,-147.5,220.0,35.0
-175,275,60,-145.0,270.0,32.5
-125,125,60,-95.0,110.0,47.5
-125,175,60,-102.5,165.0,42.5
-125,225,60,-102.5,215.0,40.0
-125,275,60,-102.5,265.0,37.5
-117.5,312,40,-100,300,40
-75,175,60,-55.0,157.5,45.0
-75,225,60,-57.5,215.0,40.0
-75,275,60,-57.5,262.5,37.5
-25,175,60,-12.5,150.0,42.5
-25,225,60,-10.0,207.5,45.0
-25,275,60,-10.0,260.0,37.5
25,175,60,32.5,142.5,45.0
25,225,60,40.0,202.5,42.5
25,275,60,45.0,255.0,40.0
75,175,60,77.5,145.0,42.5
75,225,60,85.0,200.0,40.0
75,275,60,87.5,250.0,40.0
125,125,60,107.5,95.0,47.5
125,175,60,122.5,150.0,42.5
125,225,60,127.5,202.5,37.5
125,275,60,135.0,247.5,35.0
