x,y,z,xa,ya,za
-125,125,60,-112.5,107.5,55.0
-125,175,60,-127.5,160.0,60.0
-125,225,60,-130.0,217.5,62.5
-125,275,60,-137.5,260.0,65.0
-75,175,60,-77.5,162.5,55.0
-75,225,60,-85.0,220.0,57.5
-75,275,60,-85.0,265.0,62.5
-25,175,60,-30.0,160.0,57.5
-25,225,60,-32.5,222.5,62.5
-25,275,60,-35.0,267.5,62.5
25,175,60,25,167.5,57.5
25,225,60,25,225,60
25,275,60,25,275,60
75,175,60,70.0,167.5,47.5
75,225,60,75,225,60
75,275,60,75,275,60
125,125,60,115.0,115.0,55.0
125,175,60,125,175,60
125,225,60,125,225,60
125,275,60,125,275,60
-325,50,60,-322.5,42.5,65.0
-325,100,60,-325,92.5,60
-325,125,60,-325,125,30.0
-325,75,60,-320.0,65.0,62.5
0,200,50,0,200,50
0,225,50,0,225,50
0,250,50,0,250,50
0,275,50,0,275,50
0,175,50,0,175,50
-325,75,50,-270.5,85,50
-275,80,50,-260,79,50
-200,200,60,-205.0,187.5,65.0
-200,225,60,-205.0,212.5,67.5
-200,250,60,-210.0,235.0,65.0
-200,275,60,-212.5,257.5,75.0
-175,200,60,-180.0,187.5,62.5
-175,225,60,-182.5,215.0,62.5
-175,250,60,-185.0,232.5,65.0
-175,275,60,-185.0,257.5,60.0
-175,300,60,-185.0,292.5,55.0
-150,200,60,-155.0,190.0,62.5
-150,225,60,-155.0,215.0,67.5
-150,250,60,-160.0,237.5,60.0
-150,275,60,-160.0,260.0,70.0
-150,300,60,-162.5,287.5,72.5
-125,200,60,-132.5,192.5,62.5
-125,225,60,-132.5,212.5,65.0
-125,250,60,-135.0,237.5,65.0
-125,275,60,-135.0,262.5,67.5
-125,300,60,-135.0,290.0,70.0
-125,325,60,-137.5,320.0,47.5
-100,200,60,-105.0,190.0,62.5
-100,225,60,-107.5,217.5,67.5
-100,250,60,-107.5,240.0,67.5
-100,275,60,-110.0,265.0,62.5
-100,300,60,-115.0,292.5,75.0
-100,325,60,-112.5,310.0,65.0
-75,200,60,-80.0,190.0,50.0
-75,225,60,-82.5,217.5,60.0
-75,250,60,-82.5,242.5,65.0
