fid,x,y,xa,ya
1,-382.5,207.2,-365.926538011573,210.04386156638031
2,-362.5,207.2,-347.31931634606997,210.2205231525252
3,-342.5,107.2,-325.48879786111723,118.17689205393683
3,-342.5,207.2,-328.5268867433215,209.3498754124378
4,-322.5,107.2,-307.27025426929873,118.40847625341993
4,-322.5,207.2,-309.81586681059247,208.83901373935979
5,-302.5,107.2,-289.15020178605545,118.00712888397484
5,-302.5,207.2,-291.73403237424856,209.0310421633365
6,-282.5,107.2,-271.4042193639059,118.16609808060788
6,-282.5,207.2,-273.44784107935124,208.88245303613098
7,-262.5,107.2,-253.34981074167797,117.52932961270923
7,-262.5,207.2,-254.98262521304915,208.44522039774947
8,-242.5,107.2,-235.24569321637892,116.78347595366742
8,-242.5,207.2,-236.69379192505164,208.34066108804953
9,-222.5,107.2,-217.0254458268245,116.54826661827761
9,-222.5,207.2,-218.30059399703245,207.9016551653397
12,-362.5,127.2,-344.47152627254883,136.66164606106025
12,-362.5,227.2,-348.07789493709305,228.43358922622366
13,-342.5,127.2,-326.12531934899175,136.47190201413744
13,-342.5,227.2,-329.6664758689174,227.97281468570657
14,-322.5,127.2,-307.9720051068181,136.50227449163748
14,-322.5,227.2,-310.82894195620025,227.70694273432764
15,-302.5,127.2,-289.76594316933307,136.20957091106615
15,-302.5,227.2,-292.110475003912,227.61410093160143
16,-282.5,127.2,-271.5618685285546,135.48414639105889
16,-282.5,227.2,-273.88233190235763,227.23108600515553
17,-262.5,127.2,-253.6785370256628,135.54952394626835
17,-262.5,227.2,-255.44416804551463,226.8612419509522
18,-242.5,127.2,-235.26186046546337,134.8459600575229
18,-242.5,227.2,-236.99715943279526,226.66433389783967
19,-222.5,127.2,-216.7291548346807,134.43368064834155
19,-222.5,227.2,-218.7406186849173,226.40338004953455
22,-362.5,147.2,-344.7702909535643,154.60784154640055
22,-362.5,247.2,-348.49131304289136,247.00299563106722
23,-342.5,147.2,-326.7091391637902,154.75889820452755
23,-342.5,247.2,-329.9644259072339,246.63291767408393
24,-322.5,147.2,-308.3425614706424,154.51885611949174
24,-322.5,247.2,-311.3849823438047,246.30505429126544
25,-302.5,147.2,-290.24988866755916,154.12717362868162
25,-302.5,247.2,-293.01814104417025,246.3875730614687
26,-282.5,147.2,-272.0283657142172,153.65672606118466
26,-282.5,247.2,-274.42246378459424,245.83687762084284
27,-262.5,147.2,-253.75418449260087,153.18553516587477
27,-262.5,247.2,-255.8214645780658,245.08363685182655
28,-242.5,147.2,-235.5322854172495,153.31568376633138
28,-242.5,247.2,-237.50366307791955,245.2438139342833
29,-222.5,147.2,-217.03419789425575,152.93236549716136
29,-222.5,247.2,-219.1865409451094,245.22030906709597
31,-382.5,167.2,-345.43330773971974,173.06109038626914
31,-382.5,267.2,-349.04117219003166,265.64410522365927
32,-362.5,167.2,-326.92502822857233,172.4629878397624
32,-362.5,267.2,-330.1451911452683,264.6173844113878
33,-342.5,167.2,-308.93814157599087,172.71662935454836
33,-342.5,267.2,-311.6763287149909,264.9451030448013
34,-322.5,167.2,-291.0076040505933,172.77242296645937
34,-322.5,267.2,-293.2384223583749,264.3912239033457
35,-302.5,167.2,-272.2975280947731,171.82075543499658
35,-302.5,267.2,-274.716227949994,264.55492950577917
36,-282.5,167.2,-254.17140828006097,171.8244181024253
36,-282.5,267.2,-256.5354384545222,264.7344539197773
37,-262.5,167.2,-235.83167936419224,171.44555214247873
37,-262.5,267.2,-237.92785963873982,264.1703373614863
38,-242.5,167.2,-217.48612279722883,171.13583487108525
38,-242.5,267.2,-219.18326835946976,263.4555221579351
41,-382.5,287.2,-368.9046418929435,284.7658635553436
42,-362.5,287.2,-349.8899041046264,284.2147115005776
43,-342.5,187.2,-327.8175265030308,191.1764341136423
43,-342.5,287.2,-331.308341143089,284.7152507060937
44,-322.5,187.2,-309.70124974357486,191.63840044572942
44,-322.5,287.2,-312.3455675659642,284.16254810498026
45,-302.5,187.2,-291.1405827552352,190.5780062569143
45,-302.5,287.2,-293.42020444484643,283.43386479990176
46,-282.5,187.2,-272.8785861417597,190.36093175938922
46,-282.5,287.2,-274.96934197214784,283.2827985074989
47,-262.5,187.2,-254.56781113284876,190.1798364187236
47,-262.5,287.2,-256.4074907785402,283.08145931576075
48,-242.5,187.2,-236.13195772829351,189.47869959074455
48,-242.5,287.2,-238.0301971070807,282.6798691450309
49,-222.5,187.2,-217.94180578553238,189.58689787078728
49,-222.5,287.2,-219.69935284073372,282.7263924913277
2,-357.5,107.2,-339.286647229969,119.1339587604424
2,-357.5,207.2,-342.7855492548636,210.1212162831001
3,-337.5,107.2,-320.77695959443383,118.72062156481317
3,-337.5,207.2,-324.0443843241562,209.7296077154432
4,-317.5,107.2,-302.5111740081108,118.80433363323748
4,-317.5,207.2,-305.3351777106042,209.34918016555596
5,-297.5,107.2,-284.4387094097183,118.41972484018711
5,-297.5,207.2,-287.14342733761964,209.26127978001477
6,-277.5,107.2,-266.6431673208784,118.41811534473452
6,-277.5,207.2,-268.53203347186496,208.76954109936662
7,-257.5,107.2,-248.67308098737155,117.87895400424297
7,-257.5,207.2,-250.2100069287004,208.45501111543197
8,-237.5,107.2,-230.59814580812312,117.32602796441854
8,-237.5,207.2,-232.09518459138903,208.63006038285715
9,-217.5,107.2,-212.39995580783284,117.09036951406979
9,-217.5,207.2,-213.57586221323257,207.96440148610955
11,-377.5,227.2,-361.75612688021243,228.58627369371624
12,-357.5,127.2,-339.69308128316294,137.02615309034556
12,-357.5,227.2,-343.4627072469534,228.70234542100076
13,-337.5,127.2,-321.3162404066709,136.75499836246576
13,-337.5,227.2,-325.14524364531235,228.74926744291844
